Beginner session week 1 day 2
resistanceTargeted:arms,back,core,legs,shoulders

resistanceTargeted:shoulders/dumbbell-bench-press,R=8,W=20,D=30,I=0.4
resistanceTargeted:shoulders/dumbbell-bench-press,R=10,W=20,D=33,I=0.4
resistanceTargeted:shoulders/dumbbell-bench-press,R=12,W=20,D=37,I=0.6

resistanceTargeted:back/lateral-pulldown,R=8,W=20,D=30,I=0.4
resistanceTargeted:back/lateral-pulldown,R=10,W=20,D=32,I=0.4
resistanceTargeted:back/lateral-pulldown,R=12,W=20,D=35,I=0.6

resistanceTargeted:shoulders/dumbbell-shoulder-press,R=8,W=10,D=30,I=0.4
resistanceTargeted:shoulders/dumbbell-shoulder-press,R=10,W=10,D=33,I=0.4
resistanceTargeted:shoulders/dumbbell-shoulder-press,R=12,W=10,D=34,I=0.4

resistanceTargeted:legs/lunges,R=8,W=10,D=30,I=0.4
resistanceTargeted:legs/lunges,R=10,W=10,D=31,I=0.4
resistanceTargeted:legs/lunges,R=12,W=10,D=34,I=0.4

resistanceTargeted:legs/squat,R=15,W=0,D=30,I=0.4
resistanceTargeted:legs/squat,R=15,W=0,D=30,I=0.4
resistanceTargeted:legs/squat,R=15,W=0,D=31,I=0.4

resistanceTargeted:back/cable-row,R=8,W=20,D=25,I=0.4
resistanceTargeted:back/cable-row,R=10,W=20,D=28,I=0.4
resistanceTargeted:back/cable-row,R=12,W=20,D=34,I=0.6

resistanceTargeted:arms/barbell-biceps-curl,R=8,W=20,D=28,I=0.4
resistanceTargeted:arms/barbell-biceps-curl,R=10,W=20,D=30,I=0.6
resistanceTargeted:arms/barbell-biceps-curl,R=12,W=20,D=32,I=0.6

resistanceTargeted:legs/dumbbell-calf-raise,R=8,W=20,D=30,I=0.4
resistanceTargeted:legs/dumbbell-calf-raise,R=10,W=20,D=34,I=0.4
resistanceTargeted:legs/dumbbell-calf-raise,R=12,W=20,D=40,I=0.4

resistanceTargeted:core/crunches,R=15,W=0,D=30,I=0.4
resistanceTargeted:core/crunches,R=15,W=0,D=31,I=0.6
resistanceTargeted:core/crunches,R=15,W=0,D=28,I=0.6
